method,k,metric,best_alpha,best_value
db,10,modes,0.6,8.2
db,2,modes,0.9,2.6
db,4,modes,0.6,13.0
db,6,modes,0.8,5.2
db,8,modes,0.9,44.4
fl-db,10,modes,0.2,23.4
fl-db,2,modes,0.1,60.0
fl-db,4,modes,0.8,59.2
fl-db,6,modes,0.1,32.0
fl-db,8,modes,0.2,60.0
fl-subtb,10,modes,0.4,37.4
fl-subtb,2,modes,0.2,59.8
fl-subtb,4,modes,0.6,59.4
fl-subtb,6,modes,0.8,47.8
fl-subtb,8,modes,0.1,60.0
subtb,10,modes,0.2,21.6
subtb,2,modes,0.1,20.8
subtb,4,modes,0.2,40.4
subtb,6,modes,0.1,22.2
subtb,8,modes,0.2,58.6
tb,10,modes,0.4,23.8
tb,2,modes,0.9,16.8
tb,4,modes,0.8,41.8
tb,6,modes,0.8,23.4
tb,8,modes,0.1,59.0
