method,size,reward_temp,metric,best_alpha,best_value
db_gfn,large,0.5,modes,0.9,8727.0
db_gfn,large,0.5,mean_top_1000_R,0.9,868599.1653370846
db_gfn,large,0.5,mean_top_1000_similarity,0.9,0.8871106281904713
db_gfn,large,0.5,spearman_corr_test,0.9,0.9749071095280548
db_gfn,large,1.0,modes,0.9,355.8
db_gfn,large,1.0,mean_top_1000_R,0.9,624721.7718625
db_gfn,large,1.0,mean_top_1000_similarity,0.9,0.882944479981108
db_gfn,large,1.0,spearman_corr_test,0.9,0.9445149521109444
db_gfn,large,2.0,modes,0.9,75.4
db_gfn,large,2.0,mean_top_1000_R,0.9,448232.2331438189
db_gfn,large,2.0,mean_top_1000_similarity,0.9,0.8582322587770028
db_gfn,large,2.0,spearman_corr_test,0.9,0.8370537275854584
db_gfn,medium,0.5,modes,0.9,415.2
db_gfn,medium,0.5,mean_top_1000_R,0.9,705434.8307396725
db_gfn,medium,0.5,mean_top_1000_similarity,0.9,0.8205055846943121
db_gfn,medium,0.5,spearman_corr_test,0.9,0.9889061712937286
db_gfn,medium,1.0,modes,0.9,31.4
db_gfn,medium,1.0,mean_top_1000_R,0.9,552020.09113125
db_gfn,medium,1.0,mean_top_1000_similarity,0.9,0.8034896821391918
db_gfn,medium,1.0,spearman_corr_test,0.9,0.9726776333444989
db_gfn,medium,2.0,modes,0.9,6.0
db_gfn,medium,2.0,mean_top_1000_R,0.9,468720.01241237216
db_gfn,medium,2.0,mean_top_1000_similarity,0.9,0.8001634915061222
db_gfn,medium,2.0,spearman_corr_test,0.9,0.931080523958925
db_gfn,small,0.5,modes,0.9,90.0
db_gfn,small,0.5,mean_top_1000_R,0.9,0.22142996021166103
db_gfn,small,0.5,mean_top_1000_similarity,0.9,0.7383235507711567
db_gfn,small,0.5,spearman_corr_test,0.9,0.9968650947931155
db_gfn,small,1.0,modes,0.9,55.8
db_gfn,small,1.0,mean_top_1000_R,0.9,0.2043800051867962
db_gfn,small,1.0,mean_top_1000_similarity,0.9,0.7208810241895898
db_gfn,small,1.0,spearman_corr_test,0.9,0.9952735863682072
db_gfn,small,2.0,modes,0.9,13.2
db_gfn,small,2.0,mean_top_1000_R,0.9,0.15638875463171298
db_gfn,small,2.0,mean_top_1000_similarity,0.9,0.6722425803051746
db_gfn,small,2.0,spearman_corr_test,0.9,0.9860354695121542
fl_db_gfn,large,0.5,modes,0.9,19088.0
fl_db_gfn,large,0.5,mean_top_1000_R,0.9,875841.3674062869
fl_db_gfn,large,0.5,mean_top_1000_similarity,0.9,0.8987613478699746
fl_db_gfn,large,0.5,spearman_corr_test,0.9,0.7163443847222214
fl_db_gfn,large,1.0,modes,0.9,2239.2
fl_db_gfn,large,1.0,mean_top_1000_R,0.9,768544.6010625
fl_db_gfn,large,1.0,mean_top_1000_similarity,0.9,0.8747602442725773
fl_db_gfn,large,1.0,spearman_corr_test,0.9,0.8471800559070207
fl_db_gfn,large,2.0,modes,0.9,57.4
fl_db_gfn,large,2.0,mean_top_1000_R,0.9,472091.1903122611
fl_db_gfn,large,2.0,mean_top_1000_similarity,0.9,0.8500431248291562
fl_db_gfn,large,2.0,spearman_corr_test,0.9,0.9487442408415372
fl_db_gfn,medium,0.5,modes,0.9,8125.0
fl_db_gfn,medium,0.5,mean_top_1000_R,0.9,875253.3979298867
fl_db_gfn,medium,0.5,mean_top_1000_similarity,0.9,0.8871189044526379
fl_db_gfn,medium,0.5,spearman_corr_test,0.9,0.7433809495070086
fl_db_gfn,medium,1.0,modes,0.9,118.6
fl_db_gfn,medium,1.0,mean_top_1000_R,0.9,638688.0967875
fl_db_gfn,medium,1.0,mean_top_1000_similarity,0.9,0.8057597348865866
fl_db_gfn,medium,1.0,spearman_corr_test,0.9,0.9349651253401448
fl_db_gfn,medium,2.0,modes,0.9,4.4
fl_db_gfn,medium,2.0,mean_top_1000_R,0.9,458420.13798559614
fl_db_gfn,medium,2.0,mean_top_1000_similarity,0.9,0.778262235316823
fl_db_gfn,medium,2.0,spearman_corr_test,0.9,0.9889133706668142
fl_db_gfn,small,0.5,modes,0.9,90.0
fl_db_gfn,small,0.5,mean_top_1000_R,0.9,0.2213910041021462
fl_db_gfn,small,0.5,mean_top_1000_similarity,0.9,0.7382670297894253
fl_db_gfn,small,0.5,spearman_corr_test,0.9,0.8317262516941788
fl_db_gfn,small,1.0,modes,0.9,88.6
fl_db_gfn,small,1.0,mean_top_1000_R,0.9,0.21995565728545188
fl_db_gfn,small,1.0,mean_top_1000_similarity,0.9,0.7371031396806809
fl_db_gfn,small,1.0,spearman_corr_test,0.9,0.9746676283437802
fl_db_gfn,small,2.0,modes,0.9,74.2
fl_db_gfn,small,2.0,mean_top_1000_R,0.9,0.21291703339928647
fl_db_gfn,small,2.0,mean_top_1000_similarity,0.9,0.7320944844044577
fl_db_gfn,small,2.0,spearman_corr_test,0.9,0.9905077960118316
tb_gfn,large,0.5,modes,0.7,58.0
tb_gfn,large,0.5,mean_top_1000_R,0.7,481987.83595380886
tb_gfn,large,0.5,mean_top_1000_similarity,0.7,0.8379006661373168
tb_gfn,large,0.5,spearman_corr_test,0.7,0.9896351305786772
tb_gfn,large,1.0,modes,0.7,591.6
tb_gfn,large,1.0,mean_top_1000_R,0.7,683702.4598875
tb_gfn,large,1.0,mean_top_1000_similarity,0.7,0.868523290521852
tb_gfn,large,1.0,spearman_corr_test,0.7,0.9961338625080567
tb_gfn,large,2.0,modes,0.7,0.4
tb_gfn,large,2.0,mean_top_1000_R,0.7,191334.10654545712
tb_gfn,large,2.0,mean_top_1000_similarity,0.7,0.877972840939924
tb_gfn,large,2.0,spearman_corr_test,0.7,0.9975706479452301
tb_gfn,medium,0.5,modes,0.8,3861.4
tb_gfn,medium,0.5,mean_top_1000_R,0.8,821655.6228070137
tb_gfn,medium,0.5,mean_top_1000_similarity,0.8,0.8561443325747117
tb_gfn,medium,0.5,spearman_corr_test,0.8,0.9937090753019218
tb_gfn,medium,1.0,modes,0.8,499.0
tb_gfn,medium,1.0,mean_top_1000_R,0.8,703904.3621
tb_gfn,medium,1.0,mean_top_1000_similarity,0.8,0.8577053213358944
tb_gfn,medium,1.0,spearman_corr_test,0.8,0.8616765818565602
tb_gfn,medium,2.0,modes,0.8,16.0
tb_gfn,medium,2.0,mean_top_1000_R,0.8,476281.3018301852
tb_gfn,medium,2.0,mean_top_1000_similarity,0.8,0.8773356672385455
tb_gfn,medium,2.0,spearman_corr_test,0.8,0.9875346417925124
tb_gfn,small,0.5,modes,0.7,90.0
tb_gfn,small,0.5,mean_top_1000_R,0.7,0.2214557859737858
tb_gfn,small,0.5,mean_top_1000_similarity,0.7,0.738349726466899
tb_gfn,small,0.5,spearman_corr_test,0.7,0.9989032317359421
tb_gfn,small,1.0,modes,0.7,24.8
tb_gfn,small,1.0,mean_top_1000_R,0.7,0.1840351222574711
tb_gfn,small,1.0,mean_top_1000_similarity,0.7,0.6936669849235468
tb_gfn,small,1.0,spearman_corr_test,0.7,0.9993320024335546
tb_gfn,small,2.0,modes,0.7,5.2
tb_gfn,small,2.0,mean_top_1000_R,0.7,0.13142176389081425
tb_gfn,small,2.0,mean_top_1000_similarity,0.7,0.6458532646531436
tb_gfn,small,2.0,spearman_corr_test,0.7,0.9994368969619867
